,Station,latitude,longitude,html
66,FW06,36.51381,-98.499048,http://wichita.ogs.ou.edu/eq/heliplot/FW06.png
67,FW09,36.550787,-99.040665,http://wichita.ogs.ou.edu/eq/heliplot/FW09.png
68,FW10,36.505993,-98.71849,http://wichita.ogs.ou.edu/eq/heliplot/FW10.png
69,GC02,36.8515,-97.85959,http://wichita.ogs.ou.edu/eq/heliplot/GC02.png
70,GORE,36.785632,-97.947062,http://wichita.ogs.ou.edu/eq/heliplot/GORE.png
71,GRAY,34.146911,-97.352816,http://wichita.ogs.ou.edu/eq/heliplot/GRAY.png
72,HARD,34.905778,-96.035815,http://wichita.ogs.ou.edu/eq/heliplot/HARD.png
73,HEAL,34.31632,-97.531846,http://wichita.ogs.ou.edu/eq/heliplot/HEAL.png
74,HEWI,37.048825,-96.408082,http://wichita.ogs.ou.edu/eq/heliplot/HEWI.png
75,HOLD,35.801445,-97.43569,http://wichita.ogs.ou.edu/eq/heliplot/HOLD.png
76,HTCH,36.017058,-98.332692,http://wichita.ogs.ou.edu/eq/heliplot/HTCH.png
77,KENA,35.893203,-97.442636,http://wichita.ogs.ou.edu/eq/heliplot/KENA.png
78,KIRK,35.8266,-98.670018,http://wichita.ogs.ou.edu/eq/heliplot/KIRK.png
79,LAZY,35.094423,-97.604785,http://wichita.ogs.ou.edu/eq/heliplot/LAZY.png
80,LEXS,36.73363,-101.47511,http://wichita.ogs.ou.edu/eq/heliplot/LEXS.png
81,LOOK,33.992427,-97.17999,http://wichita.ogs.ou.edu/eq/heliplot/LOOK.png
82,MADI,34.12727,-96.888553,http://wichita.ogs.ou.edu/eq/heliplot/MADI.png
83,MAPL,37.05707,-96.80499,http://wichita.ogs.ou.edu/eq/heliplot/MAPL.png
84,MILO,34.330615,-97.332711,http://wichita.ogs.ou.edu/eq/heliplot/MILO.png
85,MRSH,36.13231,-97.69548,http://wichita.ogs.ou.edu/eq/heliplot/MRSH.png
86,MUST,35.412795,-97.761201,http://wichita.ogs.ou.edu/eq/heliplot/MUST.png
87,NETT,35.905243,-97.674425,http://wichita.ogs.ou.edu/eq/heliplot/NETT.png
